*       Citation
*       
*       A citation to
*  the MCM website and the relevant mechanism construction
*  protocols should be given in any publication using
*  information obtained from this source, using the following
*  or comparable wording:
*       
* The chemical mechanistic
*  information was taken from the Master Chemical Mechanism,
*  MCM v3.3.1 (reference), via  website:
*  http://mcm.york.ac.uk/
* 
* The reference should be: 
* 
* 
*  For non-aromatic schemes:
*    
*       Jenkin et al.,
*  Atmos. Environ., 31, 81, 1997
*  [doi:10.1016/S1352-2310(96)00105-7]
*       Saunders et
*  al., Atmos. Chem. Phys., 3, 161, 2003
*  [doi:10.5194/acp-3-161-2003]
*    
*    For aromatic
*  schemes:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  3, 181, 2003 [doi:10.5194/acp-3-181-2003]
*       Bloss et
*  al., Atmos. Chem. Phys., 5, 641, 2005
*  [doi:10.5194/acp-5-641-2005]
*    
*    For the
*  β-caryophyllene scheme:
*    
*       Jenkin et al.,
*  Atmos. Chem. Phys.,  12, 5275, 2012
*  [doi:10.5194/acp-12-5275-2012]
*    
*    For the isoprene
*  scheme:
*    
*       Jenkin et al., Atmos. Chem. Phys.,
*  15, 11433-11459, 2015 [doi:10.5194/acp-15-11433-2015]
* Selected VOCs: APINENE
Name	Smiles	Inchi	InchiKey	Formula	Mass	Excited	PeroxyRadical	Synonyms
APINCO2	[O]OC(C)(C)C1CC=C(C)C(O)C1	InChI=1S/C10H17O3/c1-7-4-5-8(6-9(7)11)10(2,3)13-12/h4,8-9,11H,5-6H2,1-3H3	XQOYOYLQNDNEBP-UHFFFAOYSA-N	C10H17O3	185.2402	false	true	
APINCOH	CC1=CCC(CC1O)C(C)(C)O	InChI=1S/C10H18O2/c1-7-4-5-8(6-9(7)11)10(2,3)12/h4,8-9,11-12H,5-6H2,1-3H3	OMDMTHRBGUBUCO-UHFFFAOYSA-N	C10H18O2	170.2487	false	false	498-71-5; Sobrerol; 5-(2-Hydroxypropan-2-yl)-2-methylcyclohex-2-enol; 5-(2-hydroxypropan-2-yl)-2-methylcyclohex-2-en-1-ol; Sobrepin
APINCOOH	OOC(C)(C)C1CC=C(C)C(O)C1	InChI=1S/C10H18O3/c1-7-4-5-8(6-9(7)11)10(2,3)13-12/h4,8-9,11-12H,5-6H2,1-3H3	PONCTWLYBMTTOF-UHFFFAOYSA-N	C10H18O3	186.2481	false	false	
APINENE	CC1=CCC2CC1C2(C)C	InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3	GRWFGVWFFZKLTI-UHFFFAOYSA-N	C10H16	136.234	false	false	(+-)-alpha-pinene; (-)alpha-pinene; .alpha.-Pinene; ALPHA-PINENE; alpha -pinene
APINOOA	O=CCC1CC(C(=[O+][O-])C)C1(C)C	InChI=1S/C10H16O3/c1-7(13-12)9-6-8(4-5-11)10(9,2)3/h5,8-9H,4,6H2,1-3H3	QBCXAIJSGCNVQP-UHFFFAOYSA-N	C10H16O3	184.2322	false	false	
APINOOB	[O-][O+]=CCC1CC(C(=O)C)C1(C)C	InChI=1S/C10H16O3/c1-7(11)9-6-8(4-5-13-12)10(9,2)3/h5,8-9H,4,6H2,1-3H3	CJKNYMOLIZDBCD-UHFFFAOYSA-N	C10H16O3	184.2322	false	false	
BIACETO	CC(=O)C(=O)C[O]	InChI=1S/C4H5O3/c1-3(6)4(7)2-5/h2H2,1H3	LUMNOSJRNXNDLW-UHFFFAOYSA-N	C4H5O3	101.0807	false	false	2,3-Dioxobutoxyradical
BIACETO2	CC(=O)C(=O)CO[O]	InChI=1S/C4H5O4/c1-3(5)4(6)2-8-7/h2H2,1H3	MCNRGTDFSJDBMZ-UHFFFAOYSA-N	C4H5O4	117.0801	false	true	(2,3-Dioxobutylperoxy)radical
BIACETOH	CC(=O)C(=O)CO	InChI=1S/C4H6O3/c1-3(6)4(7)2-5/h5H,2H2,1H3	NXIVQSJQXMAXJR-UHFFFAOYSA-N	C4H6O3	102.0886	false	false	SCHEMBL4647414
BIACETOOH	CC(=O)C(=O)COO	InChI=1S/C4H6O4/c1-3(5)4(6)2-8-7/h7H,2H2,1H3	JYWVDPVJSGSFMT-UHFFFAOYSA-N	C4H6O4	118.088	false	false	
