TREF TMECH 298.0 298.0
TT000J    1.36E-11  1.36E-11 SAR, SAR
TE0002    4.38E-11  4.38E-11 SAR, SAR
TU0003    6.38E-11  6.38E-11 SAR, SAR
TT0004    9.12E-11  9.12E-11 SAR, SAR
TH9002    1.10E-10  1.10E-10 SAR, SAR
TH9001    1.55E-10  1.55E-10 SAR, SAR
TH000C    4.27E-11  4.27E-11 SAR, SAR
TT000G    4.27E-12  4.27E-12 SAR, SAR
TN9000    6.35E-12  6.35E-12 SAR, SAR
KK8004    2.60E-11  2.60E-11 SAR, SAR
HK9003    5.29E-11  5.29E-11 SAR, SAR
GK0002    2.74E-11  2.74E-11 SAR, SAR
ND7000    3.04E-11  3.04E-11 SAR, SAR
HK8000    5.39E-11  5.39E-11 SAR, SAR
GN0000    1.38E-11  1.38E-11 SAR, SAR
GK0001    2.45E-11  2.45E-11 SAR, SAR
DK0000    7.02E-11  7.02E-11 SAR, SAR
HK4000    1.71E-11  1.71E-11 SAR, SAR
DK5000    2.98E-11  2.98E-11 SAR, SAR
DK3000    1.31E-11  1.31E-11 DATA, DATA
TA0001    9.77E-12  9.77E-12 SAR, SAR
TN0006    1.28E-11  1.28E-11 SAR, SAR
ND7004    2.75E-11  2.75E-11 SAR, SAR
TT9000    6.64E-11  6.64E-11 SAR, SAR
UD9000    9.87E-11  9.87E-11 SAR, SAR
HU9000    8.42E-11  8.42E-11 SAR, SAR
NN4000    3.44E-13  3.44E-13 SAR, SAR
NO6000    8.56E-12  8.56E-12 SAR, SAR
ND0002    3.49E-11  3.49E-11 SAR, SAR
TU9000    7.36E-11  7.36E-11 SAR, SAR
DO6000    3.02E-11  3.02E-11 SAR, SAR
TD0004    4.23E-11  4.23E-11 SAR, SAR
TT000D    2.57E-11  2.57E-11 SAR, SAR
ND0001    2.89E-11  2.89E-11 SAR, SAR
TN0008    4.38E-12  4.38E-12 SAR, SAR
NK9002    9.69E-12  9.69E-12 SAR, SAR
AO7000    3.49E-11  3.49E-11 SAR, SAR
AD8000    6.04E-11  6.04E-11 SAR, SAR
HH9000    5.44E-11  5.44E-11 SAR, SAR
DD6000    5.05E-11  5.05E-11 SAR, SAR
NN9000    4.42E-12  4.42E-12 SAR, SAR
HN0000    3.52E-11  3.52E-11 SAR, SAR
TT0007    9.29E-11  9.29E-11 SAR, SAR
TD8000    2.75E-11  2.75E-11 SAR, SAR
NK9001    6.81E-12  6.81E-12 SAR, SAR
HK8001    5.61E-11  5.61E-11 SAR, SAR
DK7004    2.80E-11  2.80E-11 SAR, SAR
UK4000    2.01E-11  2.01E-11 DATA, DATA
UD8004    8.23E-11  8.23E-11 SAR, SAR
UD7002    1.18E-10  1.18E-10 SAR, SAR
UD6001    4.29E-11  4.29E-11 SAR, SAR
UD6000    7.89E-11  7.89E-11 SAR, SAR
P02000    3.00E-14  1.30E-14 DATA, SAR
HU9003    1.26E-10  1.26E-10 SAR, SAR
HU9002    1.59E-10  1.59E-10 SAR, SAR
HU9001    6.76E-11  6.76E-11 SAR, SAR
HU8001    2.17E-10  2.17E-10 SAR, SAR
TD0001    2.02E-11  2.02E-11 SAR, SAR
HU9005    2.63E-10  2.63E-10 SAR, SAR
TU9002    1.02E-10  1.02E-10 SAR, SAR
AK0002    4.27E-11  4.27E-11 SAR, SAR
PK0000    1.89E-11  1.89E-11 SAR, SAR
HK9000    2.37E-11  2.37E-11 SAR, SAR
TT0003    2.34E-11  2.34E-11 SAR, SAR
TN9002    8.29E-11  8.29E-11 SAR, SAR
TN9001    6.14E-11  6.14E-11 SAR, SAR
DK9001    2.62E-11  2.62E-11 SAR, SAR
NK9004    4.55E-11  4.55E-11 SAR, SAR
AN0000    1.80E-11  1.80E-11 SAR, SAR
AK0001    3.98E-11  3.98E-11 SAR, SAR
TD0005    3.14E-11  3.14E-11 SAR, SAR
TD0003    2.75E-11  2.75E-11 SAR, SAR
TN0009    8.69E-12  8.69E-12 SAR, SAR
ND0003    4.26E-11  4.26E-11 SAR, SAR
DO4000    1.40E-11  1.37E-11 DATA, SAR
