    5694  ! number of records (species) in the file
! data generated using SIMPOL SAR
! 1st line gives the T used to estimate vapor
! pressure (1st) and evaporation heat (2nd)
TREF 298.0
GTT900p   1.477E-09    98.0
GTT000J   6.173E-08    76.8
GTT000K   3.435E-08    77.1
GTT900m   4.084E-06    71.5
GTT900o   7.191E-06    65.5
GTT002n   6.609E-08    84.5
GTT900a   4.062E-06    69.6
GTT000M   3.283E-08    91.3
GTT002u   5.798E-07    74.1
GTT900b   1.469E-09    96.2
GTT900Z   4.062E-06    69.6
GTT9006   7.153E-06    63.7
GTT002k   6.574E-08    82.7
GTT900P   2.260E-06    69.9
GTT000N   1.827E-08    91.6
GTT001Y   3.226E-07    74.3
GTT900R   8.176E-10    96.5
GTT900O   2.260E-06    69.9
GTT900Q   3.980E-06    64.0
GTT002l   3.658E-08    83.0
GTT900j   7.212E-05    54.3
GTT0041   3.821E-09    92.7
GTT003x   3.800E-09    90.9
GTT003y   2.115E-09    91.2
GTT000O   5.829E-07    75.9
GTT003z   2.717E-08    85.8
GTT900e   1.016E-08    88.3
GTT900c   1.010E-08    86.4
GTT900d   5.621E-09    86.7
GTT003p   1.029E-05    58.7
GTT0046   1.096E-06    61.5
GTT900l   2.609E-08    80.8
GTT0033   1.090E-06    59.6
GTT001c   6.065E-07    59.9
GTT900k   7.212E-05    54.3
GTT900N   1.270E-04    48.3
GTT002m   3.737E-07    71.1
GTT002V   1.188E-07    84.2
GTT001T   6.609E-08    84.5
GTT002S   1.181E-07    82.4
GTT001Q   6.574E-08    82.7
GTT002T   6.574E-08    82.7
GTT001R   3.658E-08    83.0
GTT002U   6.716E-07    70.8
GTT001S   3.737E-07    71.1
GTT002D   1.764E-08    85.0
GTT001t   1.764E-08    85.0
GTT000W   9.762E-09    83.4
GTT000k   9.814E-09    85.3
GTT003Q   3.132E-07    69.6
GTT0039   7.145E-09    76.4
GTT001i   3.976E-09    76.7
GTE800N   1.609E-09   105.2
GTE800J   1.600E-09   103.4
GTE8003   8.904E-10   103.6
GTO6001   8.049E-06    73.6
GTE900N   3.261E-09    92.1
GTN700F   2.285E-09    92.6
GTH700U   1.272E-09    92.9
GTK7006   3.505E-07    77.6
GTU7003   2.360E-06    76.9
GTE800K   1.600E-09   103.4
GTE800G   1.592E-09   101.5
GTE8000   8.856E-10   101.8
GTN7002   2.273E-09    90.8
GTN6002   8.006E-06    71.7
GTN700Q   3.486E-07    75.8
GTE900L   3.244E-09    90.2
GTN700E   2.273E-09    90.8
GTH700S   1.265E-09    91.1
GTN700a   3.486E-07    75.8
GTN700W   2.348E-06    75.0
GTE800L   8.904E-10   103.6
GTE800H   8.856E-10   101.8
GTE8001   4.928E-10   102.1
GTH6003   4.455E-06    72.0
GTH700Z   1.940E-07    76.1
GTE900M   1.805E-09    90.5
GTH700b   1.265E-09    91.1
GTH700T   7.037E-10    91.3
GTH700w   1.940E-07    76.1
GTH700n   1.306E-06    75.3
GTE800M   2.841E-08    88.0
GTE800I   2.826E-08    86.1
GTE8002   1.572E-08    86.4
GTK6001   1.421E-04    56.3
GTK7001   6.189E-06    60.4
GTN700D   2.285E-09    92.6
GTH700A   1.272E-09    92.9
GTE000p   2.478E-11   110.4
GTE000n   2.465E-11   108.6
GTE000o   1.372E-11   108.8
GTE900F   3.244E-09    90.2
GTN7009   2.285E-09    92.6
GTN7004   2.273E-09    90.8
GTH7003   1.265E-09    91.1
GTE0009   1.379E-11   110.7
GTE0007   1.372E-11   108.8
GTE0008   7.632E-12   109.1
GTE9000   1.805E-09    90.5
GTH7007   1.272E-09    92.9
GTH700a   1.265E-09    91.1
GTH7008   7.037E-10    91.3
GTE0012   4.400E-10    95.0
GTE000z   4.376E-10    93.2
GTE0011   2.435E-10    93.5
GTE900K   5.759E-08    74.9
GTK7003   4.057E-08    77.2
GTN700C   4.036E-08    75.4
GTH7009   2.245E-08    75.7
GTK7005   6.189E-06    60.4
GTU7002   4.168E-05    59.7
GTN700M   8.701E-08    78.4
GTH700N   4.841E-08    78.7
GTN700X   2.348E-06    75.0
GTH700q   1.306E-06    75.3
GTU7001   1.335E-05    63.5
GTN6000   7.963E-06    69.9
GTN700V   2.335E-06    73.2
GTH6000   4.431E-06    70.2
GTH700l   1.299E-06    73.5
GTH700o   1.299E-06    73.5
GTH6001   2.465E-06    70.4
GTH700m   7.229E-07    73.8
GTE5000   8.170E-03    43.7
GTE800F   8.149E-06    56.7
GTO0000   6.927E-12   125.0
GTN000Q   6.890E-12   123.2
GTH001f   3.834E-12   123.5
GTK900B   3.252E-10   103.4
GTN001O   6.890E-12   123.2
GTN000O   6.853E-12   121.3
GTH001c   3.813E-12   121.6
GTN900E   3.234E-10   101.5
GTH003a   3.834E-12   123.5
GTH001Z   3.813E-12   121.6
GTH001d   2.122E-12   121.9
GTH901U   1.800E-10   101.8
GTK0006   1.223E-10   107.8
GTN000P   1.217E-10   106.0
GTH001e   6.770E-11   106.2
GTK9003   5.742E-09    86.1
GTN001P   6.890E-12   123.2
GTN000R   6.853E-12   121.3
GTH001g   3.813E-12   121.6
GTN9019   3.234E-10   101.5
GTN001Q   6.853E-12   121.3
GTN000S   6.817E-12   119.5
GTH001i   3.793E-12   119.8
GTN9006   3.217E-10    99.7
GTH901V   1.790E-10    99.9
GTN0014   1.217E-10   106.0
GTN0013   1.210E-10   104.1
GTH001u   6.734E-11   104.4
GTN900s   5.711E-09    84.3
GTH003b   3.834E-12   123.5
GTH001a   3.813E-12   121.6
GTH001h   2.122E-12   121.9
GTH9027   1.800E-10   101.8
GTH003c   3.813E-12   121.6
GTH001b   3.793E-12   119.8
GTH001j   2.110E-12   120.0
GTH9028   1.790E-10    99.9
GTH901W   9.959E-11   100.2
GTH001v   3.747E-11   104.7
GTH901n   3.178E-09    84.6
GTH000A   1.033E-08    89.4
GTU0000   1.257E-07    90.2
GTN0000   1.250E-07    88.4
GTH0001   6.955E-08    88.7
GTA800r   4.166E-08    87.4
GTG800E   5.042E-07    81.4
GTP800I   6.404E-07    68.0
GTU9001   5.899E-06    68.6
GTE800C   8.105E-06    54.9
GTN900C   3.217E-10    99.7
GTH900H   1.790E-10    99.9
GTN9004   3.200E-10    97.8
GTH9004   1.780E-10    98.1
GTN700K   8.654E-08    76.6
GTH901t   1.780E-10    98.1
GTH901X   9.906E-11    98.4
GTH700K   4.815E-08    76.9
GTA800m   4.143E-08    85.5
GTG800C   5.015E-07    79.6
GTP800G   6.370E-07    66.2
GTN9001   5.867E-06    66.7
GTN700U   4.146E-05    57.8
GTE800D   4.510E-06    55.2
GTH901S   9.959E-11   100.2
GTH700e   4.815E-08    76.9
GTH700L   2.679E-08    77.2
GTH901L   2.140E-08    83.8
GTH901I   2.129E-08    82.0
GTH901J   1.184E-08    82.3
GTH901K   1.210E-07    70.4
GTA800j   2.305E-08    85.8
GTG8009   2.790E-07    79.9
GTP800D   3.544E-07    66.5
GTH9001   3.265E-06    67.0
GTH700p   2.307E-05    58.1
GTO6000   1.228E-03    56.7
GTN6003   1.221E-03    54.9
GTH6004   6.796E-04    55.2
GTK6002   2.168E-02    39.5
GTE800E   1.439E-04    39.5
GTH001r   6.734E-11   104.4
GTN900D   5.711E-09    84.3
GTH001s   3.747E-11   104.7
GTH901T   3.178E-09    84.6
GTH001t   1.195E-09    89.0
GTK9002   1.014E-07    68.9
GTN000E   1.210E-10   104.1
GTN000D   1.204E-10   102.3
GTH000u   6.698E-11   102.5
GTN9005   5.681E-09    82.4
GTH002C   3.727E-11   102.8
GTH002s   1.189E-09    87.2
GTH001w   3.727E-11   102.8
GTH901o   3.161E-09    82.7
GTH002D   2.073E-11   103.1
GTH002t   6.616E-10    87.5
GTH003j   6.734E-11   104.4
GTH003g   6.698E-11   102.5
