    5694  ! number of records (species) in the file
GTH001h   294.38
GTH9027   277.83
GTH003c   242.11
GTH001b   273.70
GTH001j   243.80
GTH9028   252.39
GTH901W   289.75
GTH001v   293.55
GTH901n   277.07
GTH000A   268.07
GTU0000   224.53
GTN0000   242.23
GTH0001   250.00
GTA800r   238.33
GTG800E   257.97
GTP800I   268.61
GTU9001   217.15
GTE800C   254.71
GTN900C   288.07
GTH900H   252.39
GTN9004   314.14
GTH9004   290.28
GTN700K   335.28
GTH901t   290.28
GTH901X   254.90
GTH700K   283.32
GTA800m   263.95
GTG800C   268.61
GTP800G   315.58
GTN9001   252.41
GTN700U   269.81
GTE800D   273.68
GTH901S   289.75
GTH700e   283.32
GTH700L   269.77
GTH901L   262.48
GTH901I   260.03
GTH901J   277.07
GTH901K   261.60
GTA800j   257.97
GTG8009   273.20
GTP800D   272.56
GTH9001   243.67
GTH700p   233.23
GTO6000   144.74
GTN6003   230.27
GTH6004   196.92
GTK6002   145.31
GTE800E   257.97
GTH001r   249.33
GTN900D   260.03
GTH001s   293.55
GTH901T   277.07
GTH001t   281.16
GTK9002   261.60
GTN000E   279.85
GTN000D   301.43
GTH000u   281.34
GTN9005   299.41
GTH002C   251.02
GTH002s   257.46
GTH001w   251.02
GTH901o   262.92
GTH002D   303.23
GTH002t   292.61
GTH003j   249.33
GTH003g   281.34
GTH003h   251.02
GTH003f   249.33
GTH003d   281.34
GTH003e   251.02
GTN001S   245.06
GTN001R   278.16
GTH0007   247.38
GTH003i   257.46
GTH002H   293.55
GTH002E   251.02
GTH002F   303.23
GTH0029   293.55
GTH0027   251.02
GTH0028   303.23
GTH002B   268.07
GTH002A   247.38
GTH0008   282.09
GTH002G   292.61
GTH002r   281.16
GTH002o   257.46
GTH002p   292.61
GTH002w   281.16
GTH002u   257.46
GTH002v   292.61
GTK0005   249.07
GTN001J   253.19
GTH0009   267.14
GTH002q   280.10
GTH001n   267.14
GTH001k   255.50
GTH001l   281.16
GTH001q   267.14
GTH001o   255.50
GTH001p   281.16
GTH003O   267.14
GTU0006   223.59
GTH003M   255.50
GTN000N   250.36
GTH003N   281.16
GTH0000   249.07
GTA800l   237.76
GTG800B   257.40
GTP800F   285.32
GTU9000   216.28
GTH001m   266.08
GTN7007   318.70
