    5694  ! number of records (species) in the file
GAN800N   254.71
GAH800Z   273.68
GAN000G   257.46
GAD800G   257.97
GAD5005   223.39
GGD8007   273.68
GGG8001   296.65
GPG8001   265.09
GGD7004   269.81
GGN8004   258.65
GGH8002   286.13
GGN000I   259.15
GGD8006   273.20
GGD5002   246.33
GPD8007   258.65
GPP8001   308.55
GPD7004   269.55
GPN8004   303.41
GPH8004   262.07
GPN000T   291.35
GPD8006   272.56
GPD5002   308.92
GTH004Q   282.09
GOO6003   265.42
GNO6008   248.22
GHO6008   279.14
GOO6001   248.62
GNO6004   241.70
GHO6005   265.42
GAO7002   269.85
GGO7002   282.89
GPO7001   258.26
GDO6002   249.10
GAO6001   265.89
GKO7003   269.85
GDK700Q   269.81
GDD800A   258.45
GDK900o   277.07
GDK700W   269.81
GNO5001   253.82
GKO5003   244.75
GHN600J   248.22
GGN700C   258.26
GPN7002   308.96
GND600P   259.56
GND700x   269.55
GND800B   254.71
GND9011   262.92
GND700t   269.55
GGH700E   293.91
GPH7006   262.18
GHD600H   265.89
GHD700w   282.85
GHD800C   273.68
GHU000A   281.16
GHD900m   288.99
GHD700m   282.85
GED8006   274.10
GED000F   293.55
GEN8004   246.74
GEN000A   251.02
GEH8002   286.55
GEH0003   303.23
GEH8003   286.13
GEH0004   302.30
GOO6002   248.62
GNO6005   241.70
GHO6004   265.42
GDO7001   253.89
GAO7001   269.85
GGO7001   282.89
GPO7002   258.26
GKK9004   277.83
GDO6003   249.10
GNK900K   252.39
GHD700e   269.85
GHK900I   289.75
GDD8007   258.45
GAD800C   273.68
GGD8001   286.13
GPD8001   262.07
GDD700E   253.85
GDK900V   277.07
GNO6007   241.70
GNN600K   302.81
GHN600H   248.22
GND701C   248.67
GAN700M   253.81
GGN700A   258.26
GPN700A   308.96
GNK900C   252.39
GND600K   259.56
GNN900g   290.28
GHN700j   253.81
GHN900o   254.90
GND800F   254.71
GAN800O   258.65
GGN8002   262.07
GPN8002   306.11
GND7016   264.41
GND900s   262.92
GHO6007   265.42
GHN600Y   248.22
GHH6009   279.14
GHD701B   269.85
GAH700O   282.89
GGH700D   293.91
GPH700A   262.18
GHK900H   289.75
GHD600Q   265.89
GHN901F   254.90
GHH700P   282.89
GHH900U   299.83
GHD800J   273.68
GAH800c   286.13
GGH8003   296.65
GPH8002   265.09
GHD7015   269.81
GHD9013   288.99
GDD000G   281.16
GND000R   257.46
GHD000W   292.61
GAH0002   302.30
GGH0002   310.68
GPH0002   261.98
GHD7014   269.85
GDD8008   258.45
GND8006   254.71
GHD8007   273.68
GOO6000   226.96
GNO6000   234.00
GHO6000   248.62
GDO7000   233.31
GAO7000   253.89
GGO7000   269.85
GPO7000   253.81
GKK9000   263.23
GDK900l   277.07
GDO6000   227.44
GAO6000   249.10
GGO6001   265.89
GPO6001   266.07
GKO7002   253.89
GKO7000   233.31
GDK700B   253.85
GUK9000   244.42
GND700o   248.67
GNN700f   301.52
GHN7019   253.81
GNN600I   297.17
GHN600I   241.70
GND7004   242.59
GAN700K   248.67
GGN700B   253.81
GPN7001   305.45
GAN8008   258.65
GNK9001   249.50
GND900v   262.92
GND600A   251.86
GNK7002   248.67
GNK7000   242.59
GND700n   264.41
GNU900D   246.08
GHD700g   269.85
GHN700k   253.81
GHH700Q   282.89
GHH600A   265.42
GHD7002   253.89
GAH700D   269.85
GGH7005   282.89
GPH7005   258.26
GHD000m   282.09
GAH800N   286.13
GHK9001   277.83
GHD900i   288.99
GHD6006   249.10
GHK7002   269.85
GHK7000   253.89
GHD700f   269.81
GHK900J   288.99
GHU900F   263.23
GHD800B   274.10
GED8003   258.45
GDD0006   281.16
GDD8000   238.81
GDD8005   257.97
GUD900C   243.67
GAD800E   273.68
GAN800P   258.65
GAH800d   286.13
GAD8000   258.45
GAA8008   273.68
GAG8004   286.13
GPA8008   262.07
GAA9002   288.99
GAD800D   273.20
GGD8003   286.13
GGN8003   262.07
GGH8004   296.65
GGD8000   273.68
GGG8000   296.65
GPG8000   265.09
GGD8002   285.65
GPD8003   262.07
GPN8003   306.11
GPH8003   265.09
GPD8000   258.65
GPP8000   308.55
GPD8002   275.98
GND000F   249.33
GHD000D   293.55
GDD0008   281.16
GND000N   249.33
GNN0004   281.34
GHN0004   251.02
GND000M   249.33
GNN0002   281.34
GDD7000   233.28
GAD7007   253.85
GGD7001   269.81
GPD7000   269.55
GHD000c   292.61
GDK9001   262.48
GDD900E   276.20
GDD6002   228.01
GDK700A   253.85
GDK7005   233.28
GDD700A   253.81
GDK900W   276.20
GUD900F   243.67
GAN6002   259.56
GAH6001   265.89
GAD7000   253.85
GAA7000   269.81
GAG7000   282.85
GPA7000   274.00
GAK8002   273.68
GAN800I   258.65
GAH800K   286.13
GAD9001   277.07
GAA9009   288.99
GAG900C   299.07
GPA900G   267.64
GAD8006   273.20
GAK9007   277.07
GAD6000   249.66
GGD9003   288.99
GGK9004   288.99
GPD9002   265.43
GPK9005   265.43
GDK8003   258.45
GAK8001   273.68
GGK8001   286.13
GPK8001   262.07
GKK9006   277.83
GNK900E   252.39
GHK900D   289.75
GAK0007   292.61
GGK0004   302.30
GPK0005   260.64
GDK900E   277.07
GND000W   257.46
GHD000J   292.61
GDD0009   280.10
GDD9008   276.20
GOO5000   220.54
GNO5002   244.19
GHO5001   243.47
GDO6005   227.44
GAO6002   249.10
GGO6000   265.89
GPO6000   266.07
GDK700T   253.85
GDO5000   221.82
GAO5000   244.75
GNO5000   244.19
GNN5001   319.51
GHN5005   253.82
GND6003   251.86
GAN6004   259.56
GGN6002   266.07
GPN6003   327.28
GND8007   254.71
GND700T   264.41
GND5006   268.65
GHO5000   243.47
GHN500B   253.82
GHH5003   261.26
GHD6000   249.10
GAH6006   265.89
GGH6003   279.62
GPH6002   271.72
GHD8001   273.68
GHD700M   269.81
GHD5002   244.75
GDO6004   196.92
GDO5002   189.50
GDO4000   182.37
GAO4001   216.90
GGO4001   241.40
GPO4001   310.18
GKO5001   221.82
GNK5002   268.65
GHK5000   244.75
GDK6009   228.01
GAK6001   249.66
GGK6001   266.46
GPK6000   287.53
GDK8009   257.97
GDK700S   253.81
GDK500A   223.39
GHU5001   221.82
GUD600A   197.48
GAU6002   228.01
GGU6001   249.66
GPU6001   281.01
GDD700B   269.77
GDD8009   257.97
GDD6009   249.66
GDD700G   269.77
GND600O   281.01
GND7018   288.46
GHD600T   266.46
GHD7017   282.81
GDD4004   220.31
GDD6005   250.35
GDD700F   269.72
GTA000U   267.14
GTG000R   281.16
GTP000N   257.46
GTD000A   250.00
GTN0015   245.06
GTH002N   282.09
GTH002L   249.33
GTH002M   293.55
GTH002Q   282.09
GTH002O   249.33
GTH002P   293.55
GTH900a   263.90
GTH900X   240.29
GTH900Y   278.49
GTH900Z   263.23
GHD000l   293.55
GHN0013   251.02
GHH000c   303.23
GTH004Z   282.09
GTH0044   249.33
GTH002z   293.55
GTH002U   282.09
GTH002R   249.33
GTH002S   293.55
GTH0004   268.07
GTA000N   282.09
GTG0006   293.55
GTP000H   251.02
GTH002T   281.16
GTH004R   281.16
GHK600H   265.89
GHN600m   266.07
GHH600Q   279.62
GHD600X   266.46
GHO4000   257.75
GHD000v   294.38
GHN000f   243.80
GHH000T   304.07
GHD901H   289.75
GHD500R   262.54
GHD700d   282.85
GHN400A   285.07
GHN901V   254.90
GHN500I   286.42
GHN700i   274.00
GHH4003   273.28
GHH900d   299.83
GHH500A   277.08
GHH700O   293.87
GHD3004   240.24
GHK4004   260.40
GHD000k   293.55
GHN0012   251.02
GHH000X   303.23
GHD900q   288.99
GHD700c   282.85
GHN700h   274.00
GHH700N   293.87
GHD500J   264.11
GHD700b   282.81
GTH002b   249.33
GNO6003   241.70
GND6005   259.56
GND800M   254.71
GNN900I   290.28
GND900I   262.92
GND701F   269.55
GNN8008   300.40
GNN700i   322.63
GHN800E   258.65
GHN001K   257.46
GHN700y   274.00
GEN8005   246.74
GEN000B   251.02
GEN8003   290.58
GEN0009   282.68
GEH8000   250.16
GEH0001   252.52
GND8003   254.71
GND700S   264.41
GNN8002   300.40
GNN700S   318.70
GHN8009   258.65
GHN700n   269.55
GND000u   257.46
GNN000c   290.01
GHN000U   259.15
GHN700m   253.81
GND8005   254.71
GNN8003   300.40
GHN8006   258.65
GND700G   248.67
GAN7007   253.81
GGN7004   258.26
GPN7007   308.96
GNK900B   252.39
GNO6002   234.00
GNN6003   297.17
GHN600B   241.70
GNK900F   240.29
GND700C   242.59
GAN7005   248.67
GGN7001   253.81
GPN7004   305.45
GNK9006   249.50
GND901G   262.92
GND6004   251.86
GNU9008   246.08
GNN700N   301.52
GNN900Z   278.24
GNN700I   297.07
GAN8007   303.41
GNN900U   290.28
GNN900M   288.07
GNN900n   301.62
GNN6009   316.66
GNN900P   285.56
GHN700Z   253.81
GHN9018   243.19
GHN700J   248.67
GHN001C   249.33
GAH800L   262.07
GHN900W   254.90
GHN900T   252.39
GHN900x   265.43
GHN6007   259.56
GHN900b   249.50
GHN800C   246.74
GEN8002   254.71
GND000A   257.46
GND8000   250.04
GND8004   268.61
GNU9009   256.61
GAN8006   258.65
GAN8005   254.71
GAA9000   265.43
GGN8001   262.07
GGN8000   258.65
GPN8001   306.11
GPN8000   303.41
GNN0007   281.34
GHN0005   251.02
GND000X   257.46
GNN000T   281.34
GNN0003   302.64
GHN0003   282.68
GND700F   264.41
GNN000S   281.34
GND9009   249.50
GNN0001   302.64
GND7006   258.33
GPN7000   322.63
GND900G   260.03
GND900R   275.22
GND6002   273.31
GND700J   264.41
GND7005   258.33
GNU9007   256.61
GAN7000   264.41
GAN800S   258.65
GAN800H   303.41
GAH800I   262.07
GAN9002   262.92
GAA9007   265.43
GAG900A   267.64
GPA900E   305.39
GAN8003   272.56
GAN6001   281.01
GGN9001   265.43
GPN9001   303.60
GND8008   254.71
GNK900P   252.39
GNN900W   290.28
GHN900Z   254.90
GAN000E   259.15
GGN0008   260.64
GPN0006   292.56
GND900L   262.92
GNN000e   290.01
GHN000N   259.15
GND000a   266.75
GNO5003   244.19
GND600C   251.86
GND7017   264.41
GND5002   268.65
GAN5001   278.28
GNN5008   319.51
GNN6002   316.66
GNN8004   300.40
GNN700T   318.70
GNN5000   346.71
GHN500D   253.82
GHN6000   259.56
GHN8002   258.65
GHN700L   269.55
GHN5000   278.28
GND600B   242.43
GND400A   283.53
GNK5007   268.65
GND600D   273.31
GND800C   268.61
GND700z   283.32
GND500G   299.29
GNU6000   263.88
GND800J   268.61
GND700L   269.55
GNN700O   322.63
GHN700d   274.00
GND6009   281.01
GND700K   288.46
GNN900Y   301.62
GNN7009   322.63
GNN7007   360.14
GHN700B   326.14
GNN6000   346.16
GNN7008   343.66
GHN600g   287.53
GHN700p   292.91
GND6000   307.88
GND700U   312.14
GTA000P   255.50
GAN6006   287.53
GAN6000   351.14
GGN6003   293.17
GGN6000   355.59
GPN6004   355.59
GPN6000   401.20
GTH001K   293.55
GHD001K   303.23
GHN001i   252.52
GHH000x   311.62
GHD700G   282.89
GHO6003   265.42
GHN600c   248.22
GHH600I   279.14
GAH700S   282.89
GGH700I   293.91
GPH700I   262.18
GHD0006   293.55
GAH000U   303.23
GGH000Q   311.62
GPH000X   253.85
GHD600G   265.89
GHD800M   273.68
GHD701C   282.85
GHN500O   261.96
GHD500Q   244.75
GHN700H   258.26
GHN600a   307.79
GHH600F   253.86
GGH700G   262.18
GPH700G   312.13
GHN0002   251.02
GGH000K   253.85
GPH000S   284.99
GHN600P   266.07
GHN800H   258.65
GHN701D   274.00
GHN500F   278.28
GHH7007   293.91
GHH600G   290.74
GHH0001   303.23
GHH600J   279.62
GHH8008   286.13
GHH000o   292.61
GHH700V   293.87
GEH8009   286.55
GEH000E   303.23
GEH8008   250.16
GEH000D   252.52
GEH8001   297.07
GEH0002   311.62
GHD001F   293.55
GHH000f   303.23
GHD8004   273.68
GHD700Q   269.81
GHD0018   292.61
GHN001h   251.02
GHH000d   252.52
GHN8004   258.65
GHN700S   269.55
GHN001d   259.15
GHH000w   303.23
GHH000e   311.62
GHH8003   286.13
GHH700H   282.85
GHH000u   302.30
GHD001A   292.61
GHN001B   259.15
GHH000J   302.30
GHH700G   282.89
GHD8006   273.68
GHN8005   258.65
GHH8004   286.13
GHD700E   269.85
GAH7003   282.89
GGH7003   293.91
GPH7003   262.18
GHK9008   289.75
GHO6002   248.62
GHN6001   241.70
GHH6001   265.42
GHD7008   253.89
GAH7000   269.85
GGH7000   282.89
GPH7000   258.26
GHD0003   282.09
GAH000T   293.55
GGH000P   303.23
GPH000W   252.52
GHK9005   277.83
GHD901K   288.99
GHD6001   249.10
GHU9008   263.23
GHN700G   253.81
GHN600Z   302.81
GHH600D   248.22
GHN7005   248.67
GAH700P   253.81
GGH700F   258.26
GPH700F   308.96
GHN001Y   251.02
GHN001X   282.68
GHH000t   252.52
GHN0000   249.33
GGH000J   252.52
GPH000Q   283.89
GAH800T   262.07
GHN900y   254.90
GHN9008   252.39
GHN901c   265.43
GHN600L   259.56
GHN900D   249.50
GHH7006   282.89
GHH600E   279.14
GHH7002   269.85
GAH700H   282.89
GGH7007   293.91
GPH700C   262.18
GHH000i   303.23
GHH000g   252.52
GHH000h   311.62
GHH0000   293.55
GGH0009   311.62
GPH000E   253.85
GAH800M   296.65
GHH900F   299.83
GHH9003   289.75
GHH900h   299.07
GHH6005   265.89
GHH9005   277.83
GHH8006   286.55
GEH8007   273.68
GHD000d   292.61
GHD8000   258.45
GHD000h   291.55
GHD8005   273.20
GHU9009   262.48
GAH8001   286.13
GAH8000   273.68
GAA9001   299.07
GGH8001   296.65
GGH8000   286.13
GPH8001   265.09
GPH8000   262.07
GHN000n   251.02
GHH0003   303.23
GHD000y   292.61
GHN0011   251.02
GHN000L   282.68
GHH0002   252.52
GHD700D   269.81
GHN000z   251.02
GHN000K   282.68
GHD7007   253.85
GAH700J   269.81
GGH7009   282.85
GPH7004   274.00
GHD0002   281.16
GHD9002   277.07
GHD900W   288.12
GHD6005   249.66
GHD700a   269.81
GHD7003   253.85
GHU9007   262.48
GAH7004   269.81
GAH000P   292.61
GAH800f   286.13
GAH800X   262.07
GAH800J   296.65
GAH9002   288.99
GAA9008   299.07
GAG900B   307.80
GPA900F   269.62
GAH8005   285.65
GAH6000   266.46
GGH000L   302.30
GGH9001   299.07
GPH000T   260.64
GPH9001   267.64
GHD800A   273.68
GHK900R   289.75
GHN9011   254.90
GHH900I   299.83
GAH000I   302.30
GGH000E   310.68
GPH000C   261.98
GHD900K   288.99
GHN001R   259.15
GHH000C   302.30
GHD0012   291.55
GHO5002   243.47
GHN500S   253.82
GHH500I   261.26
GHD6008   249.10
GAH600E   265.89
GGH600A   279.62
GPH600B   271.72
GHN001Q   251.02
GHD9001   277.83
GAH900A   289.75
GGH900A   299.83
GPH900A   257.11
GHD7016   269.81
GHU0008   281.16
GHD5007   244.75
GAH5002   262.54
GHN500L   253.82
GHN500K   326.57
GHH500F   261.96
GHN600A   259.56
GAH600B   266.07
GGH6007   271.72
GPH6008   331.73
GHN001O   282.68
GHN9000   252.39
GAH9008   254.90
GGH9008   257.11
GPH9008   294.05
GHN800A   258.65
GHN700o   269.55
GHN000m   257.46
GHN5004   278.28
GHH5009   261.26
GHH5007   261.96
GHH5008   275.80
GHH6000   265.89
GAH6008   279.62
GGH6004   291.22
GPH6005   276.70
GHH900o   299.83
GHH900m   257.11
GHH900n   308.56
GHH000s   252.52
GHH9000   289.75
GAH9006   299.83
GGH9006   308.56
GPH9006   259.09
GHH8001   286.13
GHH700A   282.85
GHH000a   292.61
GHH5000   262.54
GHD6007   227.44
GHD500P   221.82
GHD4008   216.90
GAH4003   241.40
GGH4003   260.40
GPH4004   320.32
GHK5007   244.75
GHN500R   278.28
GHH500H   262.54
GHD6009   249.66
GAH600D   266.46
GGH6009   280.18
GPH600A   293.17
GHN001P   259.15
GHD9000   277.07
GAH9009   288.99
GGH9009   299.07
GPH9009   267.64
GHD800F   273.20
GHD7011   269.77
GHU0007   280.10
GHD500G   246.33
GHH5004   244.75
GHU6000   228.01
GHD001E   302.30
GHN001g   260.64
GHH000v   310.68
GHD000Y   292.61
GHD700F   282.85
GHD0005   292.61
GHD600F   266.46
GHN000V   259.15
GHH000K   302.30
GHD800L   273.20
GHD000X   291.55
GHD700V   282.85
GHN700V   274.00
GHH700K   293.87
GHD600B   266.46
GHD700L   282.81
GHN600d   287.53
GHN700K   292.91
GHH7009   293.83
GHD500O   246.33
GHD600A   267.15
GHD700K   282.76
GTA0006   281.16
GAH0003   302.30
GAH000R   302.30
GAH6003   280.18
GGH0003   310.68
GGH000O   310.68
GGH6001   291.79
GPH0003   261.98
GPH000V   261.98
GPH6003   298.15
GTA800e   254.71
GTD900M   243.67
GTA900p   262.48
GTA900Y   277.07
GTP900G   265.43
GTG900E   277.07
GTP900a   262.92
GTD000j   281.16
GTN002S   257.46
GTH004e   292.61
GTD000f   267.14
GTD000i   280.10
GTN002Q   255.50
GTH004b   281.16
GTD000e   266.08
GTD800C   238.81
GTN800G   250.04
GTH800Q   258.45
GTD800B   238.33
GTN900u   256.61
GTA900n   260.03
GTP900D   303.60
GTG900C   262.92
GTP900Y   301.62
GTN001t   288.52
GTH0046   257.46
GTN001u   264.79
GTN800D   250.04
GTN800B   296.98
GTH800N   254.71
GTN800C   263.95
GTH901A   262.48
GTA900U   277.07
GTP900E   267.64
GTG900B   288.99
GTP900X   265.43
GTH0036   292.61
GTH0037   280.10
GTH800M   258.45
GTH003L   267.14
GTH800J   254.71
GTH003I   255.50
GTH800K   273.68
GTH003J   281.16
GTH800L   257.97
GTH003K   266.08
GTH003R   266.08
GTE000q   257.46
GTE000A   292.61
GTE900A   277.07
GTE9009   288.99
GTE9008   265.43
GTE000c   281.16
GTE000a   257.46
GTE000b   292.61
GTE000j   281.16
GTE000g   257.46
GTE000h   292.61
GTE900E   263.23
GTE900B   249.50
GTE900C   277.83
GTE0001   267.14
GTE000f   281.16
GTE000e   292.61
GTE000d   259.15
GTE900D   262.48
GTE000i   280.10
GTE800B   258.45
GTE8008   254.71
GTE8009   273.68
GTE800A   257.97
GTT002x   247.38
GTT002v   279.85
GTT002w   249.33
GTT001b   282.09
GTT001Z   249.33
GTT001a   293.55
GTT003s   267.14
GTT003q   255.50
GTT003r   281.16
GTE000m   255.50
GTE000y   266.08
GTE0019   282.09
GTE0017   249.33
GTE0018   293.55
GTE900R   263.90
GTE900O   240.29
GTE900P   278.49
GTE0004   268.07
GTE001C   282.09
GTE001B   293.55
GTE001A   251.02
GTE900Q   263.23
GTE0016   267.14
GTE000u   249.33
GTE000s   281.34
GTE000t   251.02
GTE900J   240.29
GTE900G   278.24
GTE900H   243.19
GTE0002   247.38
GTE000x   249.33
GTE000w   251.02
GTE000v   282.68
GTE900I   249.50
GTE000r   255.50
GTE000E   293.55
GTE000C   251.02
GTE000D   303.23
GTE9004   278.49
GTE9001   243.19
GTE9002   290.41
GTE0003   282.09
GTE000H   293.55
GTE000G   303.23
GTE000F   252.52
GTE9003   277.83
GTE000B   281.16
GTT0032   247.38
GTT002y   279.85
GTT002z   249.33
GTT0031   255.50
GTT003w   267.14
GTT003t   255.50
GTT003u   281.16
GTT003v   266.08
GTA800p   258.45
GTK9008   263.23
GTD000G   266.08
GTA900i   277.07
GTD000S   267.14
GTN001E   255.50
GTH001J   281.16
GTU0007   248.01
GTA800T   254.71
GTA800N   273.68
GTA900b   277.07
GTA900A   288.99
GTP900J   265.43
GTN900Y   249.50
GTH900N   277.83
GTA000b   281.16
GTG000B   292.61
GTP0009   259.15
GTD9009   261.60
GTA800n   254.71
GTN9012   249.50
GTN001d   264.79
GTA900g   262.92
GTN002I   255.50
GTN001D   288.52
GTH001H   257.46
GTN001Z   262.48
GTA800R   300.40
GTA800L   258.65
GTA900Z   262.92
GTA9008   265.43
GTP900H   303.60
GTN900X   288.07
GTH900L   252.39
GTA000Z   257.46
GTG0009   259.15
GTP0007   291.35
GTN900T   272.32
GTA800o   273.68
GTH901w   277.83
GTH003x   280.10
GTA900h   288.99
GTH004P   281.16
GTH002a   257.46
GTH001I   292.61
GTH003n   266.08
GTA800S   258.65
GTA800M   286.13
GTA900a   288.99
GTA9009   299.07
GTP900I   267.64
GTH901d   252.39
GTH900M   289.75
GTA000a   292.61
GTG000A   302.30
GTP0008   260.64
GTH901D   276.20
GTE0014   267.14
GTE000k   255.50
GTE0005   281.16
GTH004O   282.09
GTH002Z   249.33
GTH001G   293.55
GTN001e   264.79
GTH003y   280.10
GTK900D   263.23
GTN901B   249.50
GTH902B   277.83
GTD000k   268.07
GTH9029   277.83
GTN002T   247.38
GTH004f   282.09
GTK9000   244.42
GTN900S   246.08
GTH9009   263.23
GTD900C   243.67
GTU0004   223.59
GTA000e   249.07
GTG000V   267.14
GTP000R   255.50
GTK900C   262.48
GTN0027   247.38
GTH901u   252.39
GTN0026   279.85
GTH004D   249.33
GTN900Q   285.56
GTH9006   249.50
GTN900W   256.61
GTN0005   250.36
GTA000c   253.19
GTG000T   255.50
GTP000P   288.52
GTH003q   282.09
GTH003t   249.33
GTH901Y   289.75
GTH003o   249.33
GTH003r   281.34
GTH003p   293.55
GTH003s   251.02
GTH9007   277.83
GTH900K   262.48
GTH000C   249.07
GTA000T   267.14
GTG000Q   281.16
GTP000M   257.46
GTD000B   267.14
GTE0015   267.14
GTD0009   249.07
GTH901C   277.07
GTN001Y   255.50
GTE000l   255.50
GTN000C   253.19
GTH003m   281.16
GTE0006   281.16
GTH000F   267.14
GTD900B   217.15
GTD9005   242.79
GTU0003   222.53
GTA000S   248.01
GTG000P   266.08
GTP000L   264.79
GTA900f   277.07
GTA900E   288.99
GTP900N   265.43
GTA900c   262.92
GTA900B   265.43
GTP900K   303.60
GTA900d   288.99
GTA900C   299.07
GTP900L   267.64
GTA000d   267.14
GTA000O   255.50
GTA0005   281.16
GTA900S   262.48
GTA900m   277.07
GTA900L   288.99
GTP900U   265.43
GTA900P   260.03
GTA900j   262.92
GTA900I   265.43
GTP900R   303.60
GTA900Q   277.07
GTA900k   288.99
GTA900J   299.07
GTP900S   267.64
GTA9000   243.67
GTA9002   262.48
GTA9001   277.07
GTP9001   262.92
GTA800A   257.97
GTA900R   261.60
GTA900l   276.20
GTA900K   288.12
GTP900T   277.72
GTA000R   248.01
GTA900e   276.20
GTA900D   288.12
GTP900M   277.72
GTG9009   277.07
GTG9006   262.92
GTG9007   288.99
GTG9000   262.48
GTG9005   288.99
GTP900V   265.43
GTG9008   276.20
GTG000O   266.08
GTP900B   262.92
GTP9008   301.62
GTP9009   265.43
GTP9000   260.03
GTP9005   303.60
GTP900A   275.22
GTP000K   264.79
GTG000F   292.61
GTP000D   259.15
GTG000C   259.15
GTP000A   291.35
GTG000D   302.30
GTP000B   260.64
GTD000O   267.14
GTG000M   292.61
GTD0005   249.07
GTA0001   267.14
GTG0000   281.16
GTP0000   257.46
GTG000E   291.55
GTP000C   268.44
GTN001X   255.50
GTN0003   253.19
GTG000N   257.46
GTP000J   290.01
GTH0015   281.16
GTH0006   267.14
GTG0002   292.61
GTP0002   259.15
GTD000I   266.08
GTD0004   248.01
GTD000H   264.86
GTN000V   247.38
GTH000X   282.09
GTD000D   267.14
GTN000w   247.38
GTN000H   279.85
GTH000J   249.33
GTD7003   233.28
GTN700Z   258.33
GTH700v   253.85
GTH700u   253.89
GTD8007   238.81
GTN8004   250.04
GTH800A   258.45
GTO7000   204.31
GTN700H   235.15
GTH700J   233.31
GTE8007   238.81
GTH800H   258.87
GTD8001   211.14
GTA800Q   238.81
GTG8007   258.45
GTP8007   254.71
GTD7001   204.28
GTA7003   233.28
GTK8003   238.81
GTD8006   238.33
GTU9005   217.15
GTN000z   247.38
GTN000Y   247.38
GTN000K   279.85
GTH000N   249.33
GTH000b   282.09
GTD000F   267.14
GTN000T   279.85
GTH000U   249.33
GTN001a   255.50
GTN000u   279.85
GTN000F   301.43
GTH000G   281.34
GTN8006   250.04
GTN700J   258.33
GTN8005   296.98
GTN700I   314.25
GTH800C   254.71
GTH700d   264.41
GTH700c   248.67
GTN8008   250.04
GTN8002   296.98
GTH8008   254.71
GTN700B   235.15
GTN700A   291.93
GTH700H   242.59
GTE8004   250.04
GTH800E   242.79
GTN8000   244.32
GTA800O   250.04
GTG8005   254.71
GTP8005   300.40
GTN7005   250.90
GTA7000   258.33
GTN8009   250.04
GTN8007   263.95
GTN900U   252.41
GTN000x   279.85
GTN000W   279.85
GTN000I   301.43
GTH000K   281.34
GTH000Y   249.33
GTN001b   255.50
GTH001x   249.33
GTH000V   293.55
GTH003u   281.16
GTH002I   249.33
GTH000v   281.34
GTH000H   251.02
GTH8003   258.45
GTH700R   253.85
GTH8001   254.71
GTH700P   264.41
GTH8002   273.68
GTH700Q   269.81
GTH700O   269.85
GTH8007   258.45
GTH8004   254.71
GTH8005   273.68
GTH700G   233.31
GTH700D   242.59
GTH700E   253.89
GTE8005   258.45
GTH800F   274.10
GTH8000   238.81
GTA8004   258.45
GTG8000   273.68
GTP8004   258.65
GTH700F   233.28
GTA7001   253.85
GTH800D   258.45
GTH8006   257.97
GTH901E   243.67
GTH002J   249.33
GTH001y   249.33
GTH000w   281.34
GTH000L   251.02
GTH000Z   293.55
GTH003v   281.16
GTD8002   163.82
GTN000U   255.50
GTH000W   281.16
GTD000C   266.08
GTN000v   255.50
GTN000G   288.52
GTH000I   257.46
GTD8003   238.33
GTD7002   233.23
GTN800E   263.95
GTN700Y   277.24
GTH800O   257.97
GTH700t   253.81
GTH700s   253.85
GTD8005   238.33
GTN8003   263.95
GTH8009   257.97
GTK7004   204.28
GTN700G   250.90
GTH700I   233.28
GTE8006   238.33
GTH800G   258.45
GTD8000   210.65
GTA800P   238.33
GTG8006   257.97
GTP8006   268.61
GTD7000   204.24
GTA7002   233.23
GTK8002   238.33
GTD8004   237.76
GTU9004   216.28
GTN000y   255.50
GTN000X   255.50
GTN000J   288.52
GTH000M   257.46
GTH000a   281.16
GTD000E   266.08
GTA900o   261.60
GTG900D   276.20
GTP900Z   275.22
GTD000V   264.86
GTD8009   238.33
GTN800F   263.95
GTH800P   257.97
GTD8008   237.76
GTD900H   262.48
GTN9015   260.03
GTH9021   277.07
GTH901z   277.83
GTA800q   257.97
GTA800i   273.20
GTP800A   275.98
GTG800D   273.20
GTP800H   272.56
GTD900L   277.07
GTN9017   262.92
GTH9023   288.99
GTD900J   262.48
GTD900K   276.20
GTN9016   260.03
GTH9022   277.07
GTD900G   262.48
GTE9007   262.48
GTH901x   277.83
GTD900E   243.67
GTA9007   262.48
GTD900I   261.60
GTD7005   233.28
GTT0047   249.33
GTT0048   293.55
GTK900A   263.23
GTN900x   249.50
GTH901O   277.83
GTK9006   262.48
GTN900J   288.07
GTN700b   258.33
GTH900I   252.39
GTN000a   247.38
GTN000Z   279.85
GTH001z   249.33
GTH700x   253.85
GTH000e   282.09
GTH000c   249.33
GTH000d   293.55
GTK9009   262.48
GTN900t   260.03
GTD7004   233.23
GTK9005   262.48
GTN900V   260.03
GTH901Q   277.07
GTK0008   267.14
GTN001c   255.50
GTH003w   281.16
GTK9004   261.60
GTN900j   260.03
GTN900i   299.41
GTH901j   262.92
GTH901i   252.39
GTN800A   263.95
GTA800k   268.61
GTA800g   272.56
GTP8008   321.29
GTG800A   272.56
GTP800E   318.59
GTN900p   262.92
GTN900n   301.62
GTH901l   265.43
GTN900m   260.03
GTN900o   275.22
GTN900k   299.41
GTH901k   262.92
GTN900h   260.03
GTE9005   260.03
GTH901g   252.39
GTN900e   256.61
GTA9005   260.03
GTN900l   272.32
GTN900r   288.07
GTN700T   258.33
GTT0035   251.02
GTN9018   249.50
GTN900w   288.07
GTH901M   252.39
GTN0012   247.38
GTN0011   279.85
GTH002K   249.33
