TREF TMECH 298.0 298.0
CH3O2      1.30E-12  1.30E-12 DATA, COPY
HD5001    1.68E-14  1.68E-14 SAR, SAR
2H500D    2.40E-12  2.40E-12 SAR, SAR
2H4004    2.40E-12  2.40E-12 SAR, SAR
UD7000    4.94E-15  4.94E-15 SAR, SAR
2D700L    2.40E-12  2.40E-12 SAR, SAR
2U700C    2.40E-12  2.40E-12 SAR, SAR
2U6004    2.40E-12  2.40E-12 SAR, SAR
TU0001    6.84E-15  6.84E-15 SAR, SAR
2T003e    2.40E-12  2.40E-12 SAR, SAR
2T003f    2.40E-12  2.40E-12 SAR, SAR
2T003g    2.40E-12  2.40E-12 SAR, SAR
2T700Y    2.40E-12  2.40E-12 SAR, SAR
2T003h    2.40E-12  2.40E-12 SAR, SAR
2U0002    2.40E-12  2.40E-12 SAR, SAR
2D700M    2.40E-12  2.40E-12 SAR, SAR
TT000O    9.80E-14  9.80E-14 SAR, SAR
2T003i    2.40E-12  2.40E-12 SAR, SAR
2T003j    2.40E-12  2.40E-12 SAR, SAR
2T003k    2.40E-12  2.40E-12 SAR, SAR
2T003l    2.40E-12  2.40E-12 SAR, SAR
2T901h    2.40E-12  2.40E-12 SAR, SAR
2T901i    2.40E-12  2.40E-12 SAR, SAR
2E9006    2.40E-12  2.40E-12 SAR, SAR
2E9007    2.40E-12  2.40E-12 SAR, SAR
2E7004    2.40E-12  2.40E-12 SAR, SAR
TD0002    4.61E-13  4.61E-13 SAR, SAR
2T003m    2.40E-12  2.40E-12 SAR, SAR
2T003n    2.40E-12  2.40E-12 SAR, SAR
2T800b    2.40E-12  2.40E-12 SAR, SAR
2D000J    2.40E-12  2.40E-12 SAR, SAR
2D000K    2.40E-12  2.40E-12 SAR, SAR
2D8009    2.40E-12  2.40E-12 SAR, SAR
2D700N    2.40E-12  2.40E-12 SAR, SAR
2D500D    2.40E-12  2.40E-12 SAR, SAR
DD5001    3.55E-14  3.55E-14 SAR, SAR
2D500E    2.40E-12  2.40E-12 SAR, SAR
TA8003    1.19E-15  1.19E-15 SAR, SAR
2T800c    2.40E-12  2.40E-12 SAR, SAR
2A800L    2.40E-12  2.40E-12 SAR, SAR
2A5008    2.40E-12  2.40E-12 SAR, SAR
HD0002    9.21E-14  9.21E-14 SAR, SAR
2H000r    2.40E-12  2.40E-12 SAR, SAR
2H900u    2.40E-12  2.40E-12 SAR, SAR
2D700O    2.40E-12  2.40E-12 SAR, SAR
NK8000    2.68E-16  2.68E-16 SAR, SAR
DK9002    5.69E-14  5.69E-14 SAR, SAR
2D900Q    2.40E-12  2.40E-12 SAR, SAR
2D600F    2.40E-12  2.40E-12 SAR, SAR
2D3003    2.40E-12  2.40E-12 SAR, SAR
G02000    6.40E-19  6.40E-19 SAR, SAR
2G2000    2.40E-12  2.40E-12 SAR, SAR
NO6001    1.82E-15  1.82E-15 SAR, SAR
2N600O    2.40E-12  2.40E-12 SAR, SAR
NO5000    1.00E-15  1.00E-15 SAR, SAR
GK0000    1.59E-15  1.59E-15 SAR, SAR
2G0007    2.40E-12  2.40E-12 SAR, SAR
NU9000    2.18E-14  2.18E-14 SAR, SAR
2N900b    2.40E-12  2.40E-12 SAR, SAR
2N900c    2.40E-12  2.40E-12 SAR, SAR
2N900d    2.40E-12  2.40E-12 SAR, SAR
2N600P    2.40E-12  2.40E-12 SAR, SAR
2N5008    2.40E-12  2.40E-12 SAR, SAR
2N900e    2.40E-12  2.40E-12 SAR, SAR
2N700g    2.40E-12  2.40E-12 SAR, SAR
NU9001    2.18E-14  2.18E-14 SAR, SAR
2N900f    2.40E-12  2.40E-12 SAR, SAR
2N700h    2.40E-12  2.40E-12 SAR, SAR
2U4001    2.40E-12  2.40E-12 SAR, SAR
2N8009    2.40E-12  2.40E-12 SAR, SAR
2N800A    2.40E-12  2.40E-12 SAR, SAR
NU8001    1.75E-13  1.75E-13 SAR, SAR
2N800B    2.40E-12  2.40E-12 SAR, SAR
2N800C    2.40E-12  2.40E-12 SAR, SAR
2N5009    2.40E-12  2.40E-12 SAR, SAR
2N800D    2.40E-12  2.40E-12 SAR, SAR
2N700i    2.40E-12  2.40E-12 SAR, SAR
UD7001    1.64E-14  1.64E-14 SAR, SAR
2U700D    2.40E-12  2.40E-12 SAR, SAR
2N700j    2.40E-12  2.40E-12 SAR, SAR
2N700k    2.40E-12  2.40E-12 SAR, SAR
2U6005    2.40E-12  2.40E-12 SAR, SAR
UD0000    1.52E-14  1.52E-14 SAR, SAR
2U0003    2.40E-12  2.40E-12 SAR, SAR
2D000L    2.40E-12  2.40E-12 SAR, SAR
2D700P    2.40E-12  2.40E-12 SAR, SAR
2D600G    2.40E-12  2.40E-12 SAR, SAR
2U0004    2.40E-12  2.40E-12 SAR, SAR
2N000c    2.40E-12  2.40E-12 SAR, SAR
2N000d    2.40E-12  2.40E-12 SAR, SAR
2U9008    2.40E-12  2.40E-12 SAR, SAR
2U8004    2.40E-12  2.40E-12 SAR, SAR
2K9006    2.40E-12  2.40E-12 SAR, SAR
2N900g    2.40E-12  2.40E-12 SAR, SAR
TU0002    1.08E-14  1.08E-14 SAR, SAR
2T003o    2.40E-12  2.40E-12 SAR, SAR
2T003p    2.40E-12  2.40E-12 SAR, SAR
2T700Z    2.40E-12  2.40E-12 SAR, SAR
2T6003    2.40E-12  2.40E-12 SAR, SAR
2T003q    2.40E-12  2.40E-12 SAR, SAR
2T003r    2.40E-12  2.40E-12 SAR, SAR
2D700Q    2.40E-12  2.40E-12 SAR, SAR
2D600H    2.40E-12  2.40E-12 SAR, SAR
TT0002    3.01E-13  3.01E-13 SAR, SAR
2T003s    2.40E-12  2.40E-12 SAR, SAR
2T003t    2.40E-12  2.40E-12 SAR, SAR
2T003u    2.40E-12  2.40E-12 SAR, SAR
2T003v    2.40E-12  2.40E-12 SAR, SAR
2D000M    2.40E-12  2.40E-12 SAR, SAR
2D700R    2.40E-12  2.40E-12 SAR, SAR
TT000P    1.91E-13  1.91E-13 SAR, SAR
TT000L    9.99E-15  9.99E-15 SAR, SAR
2T003w    2.40E-12  2.40E-12 SAR, SAR
TE0004    1.20E-13  1.20E-13 SAR, SAR
2T003x    2.40E-12  2.40E-12 SAR, SAR
2T901j    2.40E-12  2.40E-12 SAR, SAR
2E000A    2.40E-12  2.40E-12 SAR, SAR
2T800d    2.40E-12  2.40E-12 SAR, SAR
2E8006    2.40E-12  2.40E-12 SAR, SAR
NK9003    1.08E-15  1.08E-15 SAR, SAR
2N900h    2.40E-12  2.40E-12 SAR, SAR
2N600Q    2.40E-12  2.40E-12 SAR, SAR
HN9000    3.50E-14  3.50E-14 SAR, SAR
2H800P    2.40E-12  2.40E-12 SAR, SAR
2H500E    2.40E-12  2.40E-12 SAR, SAR
2H500F    2.40E-12  2.40E-12 SAR, SAR
NK8001    9.84E-16  9.84E-16 SAR, SAR
2N500A    2.40E-12  2.40E-12 SAR, SAR
NU9005    1.74E-12  1.74E-12 SAR, SAR
2N900i    2.40E-12  2.40E-12 SAR, SAR
2N4008    2.40E-12  2.40E-12 SAR, SAR
2N900j    2.40E-12  2.40E-12 SAR, SAR
2N800E    2.40E-12  2.40E-12 SAR, SAR
2N800F    2.40E-12  2.40E-12 SAR, SAR
NU9003    1.56E-11  1.56E-11 SAR, SAR
2N900k    2.40E-12  2.40E-12 SAR, SAR
2N900l    2.40E-12  2.40E-12 SAR, SAR
2N600R    2.40E-12  2.40E-12 SAR, SAR
2N600S    2.40E-12  2.40E-12 SAR, SAR
2N900m    2.40E-12  2.40E-12 SAR, SAR
2N700l    2.40E-12  2.40E-12 SAR, SAR
2N700m    2.40E-12  2.40E-12 SAR, SAR
2N800G    2.40E-12  2.40E-12 SAR, SAR
2N800H    2.40E-12  2.40E-12 SAR, SAR
2N700n    2.40E-12  2.40E-12 SAR, SAR
2N700o    2.40E-12  2.40E-12 SAR, SAR
2N800I    2.40E-12  2.40E-12 SAR, SAR
2N800J    2.40E-12  2.40E-12 SAR, SAR
NU9002    8.11E-12  8.11E-12 SAR, SAR
2N900n    2.40E-12  2.40E-12 SAR, SAR
2N900o    2.40E-12  2.40E-12 SAR, SAR
2N900p    2.40E-12  2.40E-12 SAR, SAR
2N900q    2.40E-12  2.40E-12 SAR, SAR
2N800K    2.40E-12  2.40E-12 SAR, SAR
2N900r    2.40E-12  2.40E-12 SAR, SAR
2N900s    2.40E-12  2.40E-12 SAR, SAR
2N700p    2.40E-12  2.40E-12 SAR, SAR
2N700q    2.40E-12  2.40E-12 SAR, SAR
DD7000    7.41E-14  7.41E-14 SAR, SAR
TH000A    3.55E-15  3.55E-15 SAR, SAR
2T700a    2.40E-12  2.40E-12 SAR, SAR
2D700S    2.40E-12  2.40E-12 SAR, SAR
2D700T    2.40E-12  2.40E-12 SAR, SAR
2D500F    2.40E-12  2.40E-12 SAR, SAR
TK9000    1.51E-15  1.51E-15 SAR, SAR
2T901k    2.40E-12  2.40E-12 SAR, SAR
2T700b    2.40E-12  2.40E-12 SAR, SAR
2K9007    2.40E-12  2.40E-12 SAR, SAR
2D700U    2.40E-12  2.40E-12 SAR, SAR
2K6007    2.40E-12  2.40E-12 SAR, SAR
2D4007    2.40E-12  2.40E-12 SAR, SAR
NK4001    8.31E-16  8.31E-16 SAR, SAR
A02000    6.40E-19  6.40E-19 SAR, SAR
2A2000    2.40E-12  2.40E-12 SAR, SAR
DD0000    7.90E-14  7.90E-14 SAR, SAR
2D000N    2.40E-12  2.40E-12 SAR, SAR
2D900R    2.40E-12  2.40E-12 SAR, SAR
2D900S    2.40E-12  2.40E-12 SAR, SAR
2D900T    2.40E-12  2.40E-12 SAR, SAR
NK4000    1.30E-15  1.30E-15 SAR, SAR
NK9000    1.61E-15  1.61E-15 SAR, SAR
ND9000    5.63E-14  5.63E-14 SAR, SAR
2N900t    2.40E-12  2.40E-12 SAR, SAR
2N800L    2.40E-12  2.40E-12 SAR, SAR
TT0009    9.32E-12  9.32E-12 SAR, SAR
2T003y    2.40E-12  2.40E-12 SAR, SAR
2T003z    2.40E-12  2.40E-12 SAR, SAR
2T0041    2.40E-12  2.40E-12 SAR, SAR
2T0042    2.40E-12  2.40E-12 SAR, SAR
2T0043    2.40E-12  2.40E-12 SAR, SAR
2T0044    2.40E-12  2.40E-12 SAR, SAR
2D000O    2.40E-12  2.40E-12 SAR, SAR
2T0045    2.40E-12  2.40E-12 SAR, SAR
2T800e    2.40E-12  2.40E-12 SAR, SAR
2D000P    2.40E-12  2.40E-12 SAR, SAR
2D800A    2.40E-12  2.40E-12 SAR, SAR
2D700V    2.40E-12  2.40E-12 SAR, SAR
TK0000    1.57E-15  1.57E-15 SAR, SAR
2T0046    2.40E-12  2.40E-12 SAR, SAR
2T0047    2.40E-12  2.40E-12 SAR, SAR
2K0000    2.40E-12  2.40E-12 SAR, SAR
2T901l    2.40E-12  2.40E-12 SAR, SAR
HD0005    6.87E-14  6.87E-14 SAR, SAR
2H000s    2.40E-12  2.40E-12 SAR, SAR
2H900v    2.40E-12  2.40E-12 SAR, SAR
2H600V    2.40E-12  2.40E-12 SAR, SAR
AK0000    1.59E-15  1.59E-15 SAR, SAR
2A000D    2.40E-12  2.40E-12 SAR, SAR
DK9005    3.34E-14  3.34E-14 SAR, SAR
2D900U    2.40E-12  2.40E-12 SAR, SAR
2K8007    2.40E-12  2.40E-12 SAR, SAR
2D600I    2.40E-12  2.40E-12 SAR, SAR
OO6000    1.77E-15  1.77E-15 SAR, SAR
2O6002    2.40E-12  2.40E-12 SAR, SAR
DO7000    2.13E-14  2.13E-14 SAR, SAR
2D700W    2.40E-12  2.40E-12 SAR, SAR
NU8000    1.60E-11  1.60E-11 SAR, SAR
2N800M    2.40E-12  2.40E-12 SAR, SAR
2N800N    2.40E-12  2.40E-12 SAR, SAR
2N500B    2.40E-12  2.40E-12 SAR, SAR
2N800O    2.40E-12  2.40E-12 SAR, SAR
2N700r    2.40E-12  2.40E-12 SAR, SAR
2N700s    2.40E-12  2.40E-12 SAR, SAR
DK7001    2.36E-14  2.36E-14 SAR, SAR
2K6008    2.40E-12  2.40E-12 SAR, SAR
DO6001    2.76E-14  2.76E-14 SAR, SAR
2D600J    2.40E-12  2.40E-12 SAR, SAR
KO5001    3.39E-16  3.39E-16 SAR, SAR
2K5002    2.40E-12  2.40E-12 SAR, SAR
HD0003    3.63E-14  3.63E-14 SAR, SAR
2H000t    2.40E-12  2.40E-12 SAR, SAR
2H900w    2.40E-12  2.40E-12 SAR, SAR
NU9004    3.38E-12  3.38E-12 SAR, SAR
2N900u    2.40E-12  2.40E-12 SAR, SAR
2N700t    2.40E-12  2.40E-12 SAR, SAR
2N800P    2.40E-12  2.40E-12 SAR, SAR
KK9001    1.75E-15  1.75E-15 SAR, SAR
2K9008    2.40E-12  2.40E-12 SAR, SAR
2O6003    2.40E-12  2.40E-12 SAR, SAR
DK0001    2.32E-14  2.32E-14 SAR, SAR
2D000Q    2.40E-12  2.40E-12 SAR, SAR
NK9005    1.14E-15  1.14E-15 SAR, SAR
2N900v    2.40E-12  2.40E-12 SAR, SAR
TT9002    9.31E-12  9.31E-12 SAR, SAR
2T901m    2.40E-12  2.40E-12 SAR, SAR
2T901n    2.40E-12  2.40E-12 SAR, SAR
2T901o    2.40E-12  2.40E-12 SAR, SAR
2T901p    2.40E-12  2.40E-12 SAR, SAR
2T901q    2.40E-12  2.40E-12 SAR, SAR
2T901r    2.40E-12  2.40E-12 SAR, SAR
2T700c    2.40E-12  2.40E-12 SAR, SAR
2D900V    2.40E-12  2.40E-12 SAR, SAR
TT000A    9.32E-12  9.32E-12 SAR, SAR
2T0048    2.40E-12  2.40E-12 SAR, SAR
2T0049    2.40E-12  2.40E-12 SAR, SAR
2T004A    2.40E-12  2.40E-12 SAR, SAR
2T004B    2.40E-12  2.40E-12 SAR, SAR
2T004C    2.40E-12  2.40E-12 SAR, SAR
2T004D    2.40E-12  2.40E-12 SAR, SAR
2D000R    2.40E-12  2.40E-12 SAR, SAR
2T004E    2.40E-12  2.40E-12 SAR, SAR
2T800f    2.40E-12  2.40E-12 SAR, SAR
2D000S    2.40E-12  2.40E-12 SAR, SAR
2D800B    2.40E-12  2.40E-12 SAR, SAR
2D700X    2.40E-12  2.40E-12 SAR, SAR
TT0005    1.07E-14  1.07E-14 SAR, SAR
2T004F    2.40E-12  2.40E-12 SAR, SAR
2T004G    2.40E-12  2.40E-12 SAR, SAR
TK0001    5.55E-15  5.55E-15 SAR, SAR
DK0002    2.37E-14  2.37E-14 SAR, SAR
2D000T    2.40E-12  2.40E-12 SAR, SAR
HD0006    3.73E-14  3.73E-14 SAR, SAR
2H000u    2.40E-12  2.40E-12 SAR, SAR
2H900x    2.40E-12  2.40E-12 SAR, SAR
2H600W    2.40E-12  2.40E-12 SAR, SAR
KK9003    2.70E-15  2.70E-15 SAR, SAR
2K9009    2.40E-12  2.40E-12 SAR, SAR
2O6004    2.40E-12  2.40E-12 SAR, SAR
DK9004    3.27E-14  3.27E-14 SAR, SAR
2D900W    2.40E-12  2.40E-12 SAR, SAR
2D600K    2.40E-12  2.40E-12 SAR, SAR
KK8000    3.52E-17  3.52E-17 SAR, SAR
2K8008    2.40E-12  2.40E-12 SAR, SAR
2K8009    2.40E-12  2.40E-12 SAR, SAR
2K5003    2.40E-12  2.40E-12 SAR, SAR
OO6001    2.72E-15  2.72E-15 SAR, SAR
2O6005    2.40E-12  2.40E-12 SAR, SAR
DK4000    1.85E-13  1.85E-13 SAR, SAR
OO5000    4.72E-15  4.72E-15 SAR, SAR
TU9003    9.32E-12  9.32E-12 SAR, SAR
2T901s    2.40E-12  2.40E-12 SAR, SAR
2T901t    2.40E-12  2.40E-12 SAR, SAR
2D900X    2.40E-12  2.40E-12 SAR, SAR
2D900Y    2.40E-12  2.40E-12 SAR, SAR
2D900Z    2.40E-12  2.40E-12 SAR, SAR
2T901u    2.40E-12  2.40E-12 SAR, SAR
2T700d    2.40E-12  2.40E-12 SAR, SAR
2U700E    2.40E-12  2.40E-12 SAR, SAR
2D700Y    2.40E-12  2.40E-12 SAR, SAR
TU9001    8.55E-12  8.55E-12 SAR, SAR
2T901v    2.40E-12  2.40E-12 SAR, SAR
2D900a    2.40E-12  2.40E-12 SAR, SAR
2D900b    2.40E-12  2.40E-12 SAR, SAR
2T901w    2.40E-12  2.40E-12 SAR, SAR
2T700e    2.40E-12  2.40E-12 SAR, SAR
2U700F    2.40E-12  2.40E-12 SAR, SAR
2U700G    2.40E-12  2.40E-12 SAR, SAR
2U700H    2.40E-12  2.40E-12 SAR, SAR
2U6006    2.40E-12  2.40E-12 SAR, SAR
TU0004    4.86E-15  4.86E-15 SAR, SAR
2T004H    2.40E-12  2.40E-12 SAR, SAR
2T901x    2.40E-12  2.40E-12 SAR, SAR
2T901y    2.40E-12  2.40E-12 SAR, SAR
2T901z    2.40E-12  2.40E-12 SAR, SAR
2T9021    2.40E-12  2.40E-12 SAR, SAR
2D900c    2.40E-12  2.40E-12 SAR, SAR
2K900A    2.40E-12  2.40E-12 SAR, SAR
2D900d    2.40E-12  2.40E-12 SAR, SAR
2D600L    2.40E-12  2.40E-12 SAR, SAR
TT0006    4.53E-13  4.53E-13 SAR, SAR
2T004I    2.40E-12  2.40E-12 SAR, SAR
2T004J    2.40E-12  2.40E-12 SAR, SAR
KK9002    1.99E-15  1.99E-15 SAR, SAR
2K900B    2.40E-12  2.40E-12 SAR, SAR
2O6006    2.40E-12  2.40E-12 SAR, SAR
HD9000    3.47E-14  3.47E-14 SAR, SAR
2H800Q    2.40E-12  2.40E-12 SAR, SAR
2H500G    2.40E-12  2.40E-12 SAR, SAR
KK8001    3.98E-15  3.98E-15 SAR, SAR
2O5001    2.40E-12  2.40E-12 SAR, SAR
KK8002    3.20E-16  3.20E-16 SAR, SAR
2K800A    2.40E-12  2.40E-12 SAR, SAR
2K5004    2.40E-12  2.40E-12 SAR, SAR
UD9008    4.10E-14  4.10E-14 SAR, SAR
2D900e    2.40E-12  2.40E-12 SAR, SAR
2D900f    2.40E-12  2.40E-12 SAR, SAR
2K4003    2.40E-12  2.40E-12 SAR, SAR
2N900w    2.40E-12  2.40E-12 SAR, SAR
2N900x    2.40E-12  2.40E-12 SAR, SAR
2U8005    2.40E-12  2.40E-12 SAR, SAR
2U8006    2.40E-12  2.40E-12 SAR, SAR
UD9005    2.60E-11  2.60E-11 SAR, SAR
2D900g    2.40E-12  2.40E-12 SAR, SAR
2D900h    2.40E-12  2.40E-12 SAR, SAR
2D600M    2.40E-12  2.40E-12 SAR, SAR
2D600N    2.40E-12  2.40E-12 SAR, SAR
2N900y    2.40E-12  2.40E-12 SAR, SAR
2U700I    2.40E-12  2.40E-12 SAR, SAR
2U8007    2.40E-12  2.40E-12 SAR, SAR
2U8008    2.40E-12  2.40E-12 SAR, SAR
2U8009    2.40E-12  2.40E-12 SAR, SAR
2U800A    2.40E-12  2.40E-12 SAR, SAR
UD9003    2.70E-14  2.70E-14 SAR, SAR
2U9009    2.40E-12  2.40E-12 SAR, SAR
2D900i    2.40E-12  2.40E-12 SAR, SAR
2N900z    2.40E-12  2.40E-12 SAR, SAR
2U800B    2.40E-12  2.40E-12 SAR, SAR
2U700J    2.40E-12  2.40E-12 SAR, SAR
UD8002    8.15E-15  8.15E-15 SAR, SAR
2D800C    2.40E-12  2.40E-12 SAR, SAR
2U800C    2.40E-12  2.40E-12 SAR, SAR
2N800Q    2.40E-12  2.40E-12 SAR, SAR
2U700K    2.40E-12  2.40E-12 SAR, SAR
UD8000    3.27E-13  3.27E-13 SAR, SAR
2D800D    2.40E-12  2.40E-12 SAR, SAR
2D800E    2.40E-12  2.40E-12 SAR, SAR
2K5005    2.40E-12  2.40E-12 SAR, SAR
2N800R    2.40E-12  2.40E-12 SAR, SAR
2U700L    2.40E-12  2.40E-12 SAR, SAR
2U700M    2.40E-12  2.40E-12 SAR, SAR
2U700N    2.40E-12  2.40E-12 SAR, SAR
KO4000    2.02E-15  2.02E-15 SAR, SAR
DK9000    5.75E-14  5.75E-14 SAR, SAR
2D900j    2.40E-12  2.40E-12 SAR, SAR
2D900k    2.40E-12  2.40E-12 SAR, SAR
2K800B    2.40E-12  2.40E-12 SAR, SAR
UD9001    2.25E-14  2.25E-14 SAR, SAR
2U900A    2.40E-12  2.40E-12 SAR, SAR
2D900l    2.40E-12  2.40E-12 SAR, SAR
2D900m    2.40E-12  2.40E-12 SAR, SAR
2D600O    2.40E-12  2.40E-12 SAR, SAR
2N9011    2.40E-12  2.40E-12 SAR, SAR
2U700O    2.40E-12  2.40E-12 SAR, SAR
HD9001    3.87E-14  3.87E-14 SAR, SAR
2H800R    2.40E-12  2.40E-12 SAR, SAR
2H500H    2.40E-12  2.40E-12 SAR, SAR
KK8003    4.70E-15  4.70E-15 SAR, SAR
2O5002    2.40E-12  2.40E-12 SAR, SAR
UD9009    1.55E-12  1.55E-12 SAR, SAR
2D900n    2.40E-12  2.40E-12 SAR, SAR
2K4004    2.40E-12  2.40E-12 SAR, SAR
2N9012    2.40E-12  2.40E-12 SAR, SAR
2N9013    2.40E-12  2.40E-12 SAR, SAR
2U800D    2.40E-12  2.40E-12 SAR, SAR
2U800E    2.40E-12  2.40E-12 SAR, SAR
UD9007    4.80E-12  4.80E-12 SAR, SAR
2D900o    2.40E-12  2.40E-12 SAR, SAR
2D700Z    2.40E-12  2.40E-12 SAR, SAR
2U800F    2.40E-12  2.40E-12 SAR, SAR
UD9006    1.56E-11  1.56E-11 SAR, SAR
2D900p    2.40E-12  2.40E-12 SAR, SAR
2K6009    2.40E-12  2.40E-12 SAR, SAR
2K600A    2.40E-12  2.40E-12 SAR, SAR
2N9014    2.40E-12  2.40E-12 SAR, SAR
2U700P    2.40E-12  2.40E-12 SAR, SAR
2U700Q    2.40E-12  2.40E-12 SAR, SAR
2U800G    2.40E-12  2.40E-12 SAR, SAR
2U800H    2.40E-12  2.40E-12 SAR, SAR
2U700R    2.40E-12  2.40E-12 SAR, SAR
2U800I    2.40E-12  2.40E-12 SAR, SAR
2U800J    2.40E-12  2.40E-12 SAR, SAR
UD9004    5.11E-12  5.11E-12 SAR, SAR
2D900q    2.40E-12  2.40E-12 SAR, SAR
2D900r    2.40E-12  2.40E-12 SAR, SAR
2N9015    2.40E-12  2.40E-12 SAR, SAR
2U800K    2.40E-12  2.40E-12 SAR, SAR
2U700S    2.40E-12  2.40E-12 SAR, SAR
2U700T    2.40E-12  2.40E-12 SAR, SAR
UD9002    2.74E-14  2.74E-14 SAR, SAR
2N9016    2.40E-12  2.40E-12 SAR, SAR
2U700U    2.40E-12  2.40E-12 SAR, SAR
2U800L    2.40E-12  2.40E-12 SAR, SAR
2U800M    2.40E-12  2.40E-12 SAR, SAR
UD8003    1.59E-13  1.59E-13 SAR, SAR
2D800F    2.40E-12  2.40E-12 SAR, SAR
2D500G    2.40E-12  2.40E-12 SAR, SAR
2N800S    2.40E-12  2.40E-12 SAR, SAR
2U700V    2.40E-12  2.40E-12 SAR, SAR
UD8001    1.43E-11  1.43E-11 SAR, SAR
2K5006    2.40E-12  2.40E-12 SAR, SAR
2U700W    2.40E-12  2.40E-12 SAR, SAR
2U700X    2.40E-12  2.40E-12 SAR, SAR
KO9000    2.33E-15  2.33E-15 SAR, SAR
2K900C    2.40E-12  2.40E-12 SAR, SAR
EH3000    2.62E-17  2.62E-17 SAR, SAR
EH2000    2.56E-17  2.56E-17 SAR, SAR
AH2000    1.64E-17  1.64E-17 SAR, SAR
TP0001    4.58E-16  4.58E-16 SAR, SAR
TH9003    4.73E-16  4.73E-16 SAR, SAR
TP900C    3.49E-16  3.49E-16 SAR, SAR
TH800B    4.28E-16  4.28E-16 SAR, SAR
PK8000    1.90E-16  1.90E-16 SAR, SAR
HK7000    2.05E-16  2.05E-16 SAR, SAR
HD8008    2.13E-14  2.13E-14 SAR, SAR
TT000S    5.95E-16  5.95E-16 SAR, SAR
KK6000    8.07E-16  8.07E-16 SAR, SAR
HK7001    9.76E-16  9.76E-16 SAR, SAR
TH900B    3.19E-14  3.19E-14 SAR, SAR
HD9007    1.01E-14  1.01E-14 SAR, SAR
DD4000    1.46E-14  1.46E-14 SAR, SAR
TH0041    1.90E-16  1.90E-16 SAR, SAR
TG0001    4.58E-16  4.58E-16 SAR, SAR
TT000Z    8.32E-16  8.32E-16 SAR, SAR
TH7001    4.90E-16  4.90E-16 SAR, SAR
TH000P    7.18E-16  7.18E-16 SAR, SAR
PN7003    1.06E-16  1.06E-16 SAR, SAR
TT000Q    7.62E-16  7.62E-16 SAR, SAR
TG9001    3.49E-16  3.49E-16 SAR, SAR
GK8000    1.90E-16  1.90E-16 SAR, SAR
TT003M    3.58E-16  3.58E-16 SAR, SAR
TK0007    2.79E-16  2.79E-16 SAR, SAR
TT000g    6.15E-16  6.15E-16 SAR, SAR
TH000T    3.88E-16  3.88E-16 SAR, SAR
HN6008    1.12E-16  1.12E-16 SAR, SAR
HK3000    1.70E-17  1.70E-17 SAR, SAR
HD6004    8.25E-15  8.25E-15 SAR, SAR
PH0000    3.88E-16  3.88E-16 SAR, SAR
HH9001    4.03E-16  4.03E-16 SAR, SAR
ND8001    2.13E-14  2.13E-14 SAR, SAR
TP9005    4.58E-16  4.58E-16 SAR, SAR
TP8002    5.55E-14  5.55E-14 SAR, SAR
TP8001    4.73E-16  4.73E-16 SAR, SAR
HK9005    1.01E-15  1.01E-15 SAR, SAR
PH0001    2.79E-16  2.79E-16 SAR, SAR
HH9003    2.94E-16  2.94E-16 SAR, SAR
TN8001    4.28E-16  4.28E-16 SAR, SAR
PH7001    2.71E-16  2.71E-16 SAR, SAR
HH6003    2.86E-16  2.86E-16 SAR, SAR
PK7000    2.16E-17  2.16E-17 SAR, SAR
DK7005    4.23E-14  4.23E-14 SAR, SAR
TP0002    4.74E-16  4.74E-16 SAR, SAR
TH9008    5.64E-14  5.64E-14 SAR, SAR
TH9007    4.89E-16  4.89E-16 SAR, SAR
PH7002    1.63E-16  1.63E-16 SAR, SAR
HH6004    1.77E-16  1.77E-16 SAR, SAR
TP800B    3.49E-16  3.49E-16 SAR, SAR
TA7001    4.27E-16  4.27E-16 SAR, SAR
PA7000    1.90E-16  1.90E-16 SAR, SAR
AH7004    2.04E-14  2.04E-14 SAR, SAR
AH6001    2.04E-16  2.04E-16 SAR, SAR
TP8004    5.36E-16  5.36E-16 SAR, SAR
TH700F    5.41E-14  5.41E-14 SAR, SAR
TH700E    5.51E-16  5.51E-16 SAR, SAR
HN001V    1.10E-16  1.10E-16 SAR, SAR
TH003z    7.61E-16  7.61E-16 SAR, SAR
TN9003    4.73E-16  4.73E-16 SAR, SAR
HK6001    2.75E-17  2.75E-17 SAR, SAR
TH000S    2.39E-14  2.39E-14 SAR, SAR
TT003T    5.84E-16  5.84E-16 SAR, SAR
TH7006    2.76E-16  2.76E-16 SAR, SAR
TH003w    5.04E-16  5.04E-16 SAR, SAR
DK8006    3.40E-14  3.40E-14 SAR, SAR
HD000A    1.88E-14  1.88E-14 SAR, SAR
TP900V    4.58E-16  4.58E-16 SAR, SAR
TG8003    5.55E-14  5.55E-14 SAR, SAR
TG8002    4.73E-16  4.73E-16 SAR, SAR
AD2000    1.55E-15  1.55E-15 SAR, SAR
TN900B    3.19E-14  3.19E-14 SAR, SAR
AK5000    8.06E-16  8.06E-16 SAR, SAR
AH6002    9.75E-16  9.75E-16 SAR, SAR
NK7000    2.05E-16  2.05E-16 SAR, SAR
TT000n    8.52E-16  8.52E-16 SAR, SAR
TH7005    5.10E-16  5.10E-16 SAR, SAR
TH000d    7.38E-16  7.38E-16 SAR, SAR
HD7004    1.68E-14  1.68E-14 SAR, SAR
TH0042    4.38E-16  4.38E-16 SAR, SAR
ND9007    1.01E-14  1.01E-14 SAR, SAR
