TREF TMECH 298.0 298.0
CH3O2      1.30E-12  1.30E-12 DATA, COPY
2H0007    2.40E-12  2.40E-12 SAR, SAR
2H0008    2.40E-12  2.40E-12 SAR, SAR
2H9001    2.40E-12  2.40E-12 SAR, SAR
2H9002    2.40E-12  2.40E-12 SAR, SAR
HD0000    2.24E-14  2.24E-14 SAR, SAR
2H0009    2.40E-12  2.40E-12 SAR, SAR
2H000A    2.40E-12  2.40E-12 SAR, SAR
2H9003    2.40E-12  2.40E-12 SAR, SAR
2H7002    2.40E-12  2.40E-12 SAR, SAR
2H9004    2.40E-12  2.40E-12 SAR, SAR
2H8000    2.40E-12  2.40E-12 SAR, SAR
2H6001    2.40E-12  2.40E-12 SAR, SAR
2H6002    2.40E-12  2.40E-12 SAR, SAR
K03000    3.00E-17  3.00E-17 DATA, DATA
2K3000    2.40E-12  2.40E-12 SAR, SAR
HN7000    2.05E-14  2.05E-14 SAR, SAR
2H7003    2.40E-12  2.40E-12 SAR, SAR
2H6003    2.40E-12  2.40E-12 SAR, SAR
TT000H    1.02E-15  1.02E-15 SAR, SAR
2T000f    2.40E-12  2.40E-12 SAR, SAR
2T000g    2.40E-12  2.40E-12 SAR, SAR
2T000h    2.40E-12  2.40E-12 SAR, SAR
2T000i    2.40E-12  2.40E-12 SAR, SAR
2T000j    2.40E-12  2.40E-12 SAR, SAR
2T000k    2.40E-12  2.40E-12 SAR, SAR
2T000l    2.40E-12  2.40E-12 SAR, SAR
2T000m    2.40E-12  2.40E-12 SAR, SAR
2T000n    2.40E-12  2.40E-12 SAR, SAR
2T9005    2.40E-12  2.40E-12 SAR, SAR
2T7003    2.40E-12  2.40E-12 SAR, SAR
2N0001    2.40E-12  2.40E-12 SAR, SAR
2N0002    2.40E-12  2.40E-12 SAR, SAR
2T7004    2.40E-12  2.40E-12 SAR, SAR
2T9006    2.40E-12  2.40E-12 SAR, SAR
2T9007    2.40E-12  2.40E-12 SAR, SAR
2N7001    2.40E-12  2.40E-12 SAR, SAR
2N7002    2.40E-12  2.40E-12 SAR, SAR
2N7003    2.40E-12  2.40E-12 SAR, SAR
2N7004    2.40E-12  2.40E-12 SAR, SAR
2N9001    2.40E-12  2.40E-12 SAR, SAR
2N9002    2.40E-12  2.40E-12 SAR, SAR
2N7005    2.40E-12  2.40E-12 SAR, SAR
2N9003    2.40E-12  2.40E-12 SAR, SAR
TH0006    2.26E-14  2.26E-14 SAR, SAR
2T000o    2.40E-12  2.40E-12 SAR, SAR
2T000p    2.40E-12  2.40E-12 SAR, SAR
2T9008    2.40E-12  2.40E-12 SAR, SAR
2H000B    2.40E-12  2.40E-12 SAR, SAR
2H000C    2.40E-12  2.40E-12 SAR, SAR
2H000D    2.40E-12  2.40E-12 SAR, SAR
2H7004    2.40E-12  2.40E-12 SAR, SAR
HD7001    2.04E-14  2.04E-14 SAR, SAR
2H7005    2.40E-12  2.40E-12 SAR, SAR
2H6004    2.40E-12  2.40E-12 SAR, SAR
2H4000    2.40E-12  2.40E-12 SAR, SAR
TP9000    2.22E-14  2.22E-14 SAR, SAR
2T9009    2.40E-12  2.40E-12 SAR, SAR
2T900A    2.40E-12  2.40E-12 SAR, SAR
2T8002    2.40E-12  2.40E-12 SAR, SAR
2P9000    2.40E-12  2.40E-12 SAR, SAR
2P9001    2.40E-12  2.40E-12 SAR, SAR
2P9002    2.40E-12  2.40E-12 SAR, SAR
2P6000    2.40E-12  2.40E-12 SAR, SAR
2P6001    2.40E-12  2.40E-12 SAR, SAR
2P3000    2.40E-12  2.40E-12 SAR, SAR
TH8000    2.17E-14  2.17E-14 SAR, SAR
2T8003    2.40E-12  2.40E-12 SAR, SAR
2T8004    2.40E-12  2.40E-12 SAR, SAR
2T7005    2.40E-12  2.40E-12 SAR, SAR
2H8001    2.40E-12  2.40E-12 SAR, SAR
2H8002    2.40E-12  2.40E-12 SAR, SAR
HD8000    4.26E-14  4.26E-14 SAR, SAR
2H8003    2.40E-12  2.40E-12 SAR, SAR
2H8004    2.40E-12  2.40E-12 SAR, SAR
2H7006    2.40E-12  2.40E-12 SAR, SAR
2H7007    2.40E-12  2.40E-12 SAR, SAR
TH0003    5.04E-14  5.04E-14 SAR, SAR
2T000q    2.40E-12  2.40E-12 SAR, SAR
2T8005    2.40E-12  2.40E-12 SAR, SAR
2H000E    2.40E-12  2.40E-12 SAR, SAR
2H000F    2.40E-12  2.40E-12 SAR, SAR
2H8005    2.40E-12  2.40E-12 SAR, SAR
2H000G    2.40E-12  2.40E-12 SAR, SAR
2H7008    2.40E-12  2.40E-12 SAR, SAR
