! data generated using GROMHE SAR
GTE8003   2.402E+11
GTO6001   5.682E+06
GTE900N   1.681E+10
GTN700F   2.138E+10
GTH700U   1.132E+11
GTK7006   1.202E+09
GTU7003   1.973E+07
GTE800K   4.527E+08
GTE800G   1.067E+06
GTE8000   9.091E+08
GTN7002   6.230E+08
GTN6002   2.832E+04
GTN700Q   6.017E+06
GTE900L   2.066E+08
GTN700E   1.869E+08
GTH700S   6.066E+08
GTN700a   6.017E+06
GTN700W   1.042E+05
GTE800L   2.402E+11
GTE800H   5.662E+08
GTE8001   4.824E+11
GTH6003   1.141E+07
GTH700Z   2.413E+09
GTE900M   3.376E+10
GTH700b   4.293E+10
GTH700T   2.273E+11
GTH700w   2.413E+09
GTH700n   3.962E+07
GTE800M   1.061E+08
GTE800I   4.764E+05
GTE8002   2.130E+08
GTK6001   5.684E+04
GTK7001   1.669E+08
GTN700D   3.555E+09
GTH700A   2.018E+12
GTE000p   1.002E+11
GTE000n   3.029E+08
GTE000o   2.013E+11
GTE900F   2.157E+08
GTN7009   4.032E+09
GTN7004   5.954E+07
GTH7003   3.198E+10
GTE0009   4.710E+13
GTE0007   1.423E+11
GTE0008   9.458E+13
GTE9000   8.660E+10
GTH7007   2.018E+12
GTH700a   2.820E+10
GTH7008   1.601E+13
GTE0012   9.372E+11
GTE000z   3.983E+09
GTE0011   1.882E+12
GTE900K   1.290E+10
GTK7003   2.434E+09
GTN700C   8.301E+09
GTH7009   1.930E+10
GTK7005   1.662E+08
GTU7002   2.161E+05
GTN700M   1.036E+06
GTH700N   5.087E+08
GTN700X   1.042E+05
GTH700q   3.962E+07
GTU7001   6.357E+04
GTN6000   1.412E+02
GTN700V   5.505E+02
GTH6000   5.688E+04
GTH700l   2.093E+05
GTH700o   2.093E+05
GTH6001   2.291E+07
GTH700m   7.957E+07
GTE5000   1.346E+01
GTE800F   1.310E+04
GTO0000   6.813E+13
GTN000Q   3.652E+11
GTH001f   1.368E+14
GTK900B   1.246E+13
GTN001O   2.751E+11
GTN000O   1.474E+09
GTH001c   5.524E+11
GTN900E   5.047E+10
GTH003a   1.368E+14
GTH001Z   7.333E+11
GTH001d   2.747E+14
GTH901U   2.501E+13
GTK0006   8.827E+09
GTN000P   4.865E+07
GTH001e   1.772E+10
GTK9003   1.703E+09
GTN001P   2.436E+11
GTN000R   1.306E+09
GTH001g   4.892E+11
GTN9019   4.466E+10
GTN001Q   3.886E+09
GTN000S   2.083E+07
GTH001i   7.803E+09
GTN9006   7.157E+08
GTH901V   3.543E+11
GTN0014   1.126E+10
GTN0013   7.052E+07
GTH001u   2.262E+10
GTN900s   2.686E+09
GTH003b   1.368E+14
GTH001a   7.333E+11
GTH001h   2.747E+14
GTH9027   2.501E+13
GTH003c   2.182E+12
GTH001b   1.169E+10
GTH001j   4.381E+12
GTH9028   4.003E+11
GTH901W   1.984E+14
GTH001v   1.406E+11
GTH901n   1.351E+10
GTH000A   1.440E+09
GTU0000   9.798E+06
GTN0000   5.612E+04
GTH0001   1.968E+07
GTA800r   2.161E+08
GTG800E   8.401E+07
GTP800I   3.060E+05
GTU9001   1.980E+06
GTE800C   6.516E+01
GTN900C   8.091E+08
GTH900H   4.003E+11
GTN9004   1.149E+07
GTH9004   5.677E+09
GTN700K   1.478E+03
GTH901t   6.417E+09
GTH901X   3.175E+12
GTH700K   6.342E+05
GTA800m   1.237E+06
GTG800C   4.812E+05
GTP800G   1.752E+03
GTN9001   1.137E+04
GTN700U   1.684E+01
GTE800D   2.632E+04
GTH901S   1.984E+14
GTH700e   5.092E+04
GTH700L   2.186E+07
GTH901L   2.517E+10
GTH901I   1.200E+08
GTH901J   5.054E+10
GTH901K   6.906E+07
GTA800j   4.338E+08
GTG8009   1.687E+08
GTP800D   6.145E+05
GTH9001   3.977E+06
GTH700p   4.492E+02
GTO6000   2.114E+02
GTN6003   1.278E+00
GTH6004   4.245E+02
GTK6002   3.519E+01
GTE800E   4.737E+02
GTH001r   3.942E+09
GTN900D   4.077E+08
GTH001s   1.406E+11
GTH901T   1.351E+10
GTH001t   1.802E+08
GTK9002   2.360E+07
GTN000E   3.826E+09
GTN000D   2.615E+07
GTH000u   7.683E+09
GTN9005   1.050E+09
GTH002C   1.794E+11
GTH002s   8.300E+10
GTH001w   3.127E+10
GTH901o   3.234E+09
GTH002D   1.115E+12
GTH002t   1.430E+09
GTH003j   1.166E+11
GTH003g   5.186E+09
GTH003h   2.488E+12
GTH003f   2.594E+10
GTH003d   5.461E+09
GTH003e   2.058E+11
GTN001S   4.712E+07
GTN001R   2.639E+05
GTH0007   9.461E+07
GTH003i   3.040E+10
GTH002H   4.491E+12
GTH002E   1.930E+11
GTH002F   9.583E+13
GTH0029   1.076E+13
GTH0027   1.691E+11
GTH0028   8.534E+13
GTH002B   1.440E+09
GTH002A   7.996E+06
GTH0008   2.891E+09
GTH002G   7.295E+09
GTH002r   4.878E+09
GTH002o   3.903E+10
GTH002p   1.041E+11
GTH002w   7.319E+11
GTH002u   1.611E+10
GTH002v   5.805E+12
GTK0005   1.030E+08
GTN001J   5.964E+05
GTH0009   2.069E+08
GTH002q   1.054E+10
GTH001n   1.706E+09
GTH001k   8.643E+07
GTH001l   3.640E+10
GTH001q   2.940E+08
GTH001o   6.005E+07
GTH001p   2.332E+09
GTH003O   5.261E+09
GTU0006   4.463E+05
GTH003M   9.354E+07
GTN000N   2.556E+03
